id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"Every claim in the answer is directly supported by the context provided, with no hallucinated information.",5,"The answer directly addresses the user's question about the SLA for P1 tickets, providing specific timeframes for both response and resolution.",5,Retrieved: 1/1 expected sources,5,"The generated answer accurately covers all key facts from the expected answer, including the initial response time of 15 minutes and the resolution time of 4 hours.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,"The answer directly addresses the user's question about the timeframe for requesting a refund, providing a specific duration of 7 working days.",5,Retrieved: 1/1 expected sources,5,"The generated answer perfectly matches the expected answer, including all key facts and details.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for Level 3 access as stated in the context, specifically mentioning the necessary approvals from Line Manager, IT Admin, and IT Security without introducing any unsupported information.",5,"The answer directly addresses the user's question by specifying who needs to approve the Level 3 access, making it both concise and helpful.",5,Retrieved: 1/1 expected sources,5,"The generated answer includes all key facts from the expected answer, specifically mentioning the need for approval from Line Manager, IT Admin, and IT Security for Level 3 access.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not eligible for refunds unless there is a manufacturer defect, but it does not clarify that the request must be made within 7 days and that the product must not be used or unsealed, which are also conditions for refunds.",5,The answer directly addresses the user's question about the refund policy for digital products and provides specific conditions under which a refund may be possible.,5,Retrieved: 1/1 expected sources,3,"The generated answer mentions that digital products are non-refundable, which aligns with the expected answer, but it introduces an exception for manufacturer errors that is not present in the expected answer, leading to incomplete coverage of the original policy.",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"Every claim in the answer is directly supported by the context provided, with no hallucinated information.",5,"The answer directly addresses the user's question about how many failed login attempts lead to an account being locked, and it provides additional helpful information on how to unlock the account.",5,Retrieved: 1/1 expected sources,5,"The generated answer perfectly matches the expected answer and adds additional information about unlocking the account, thus providing complete coverage.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,4,"The answer accurately describes the escalation process for incident P1, but it omits the specific detail that escalation occurs automatically if there is no response within 10 minutes, which is a critical part of the escalation process.",5,"The answer directly addresses the user's question about the escalation process for P1 incidents, providing a clear and concise step-by-step explanation.",5,Retrieved: 1/1 expected sources,4,"The generated answer includes the escalation process for P1 tickets and mentions the 10-minute response time, but it adds additional steps that are not present in the expected answer, which may lead to slight deviations from the original intent.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty, áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the information provided in the context, specifically that the approval matrix is part of the process for granting access to internal systems and applies to all employees, contractors, and third-party vendors.",5,The answer directly addresses the user's question by explaining what an Approval Matrix is and its purpose in granting access rights within a company.,5,Retrieved: 1/1 expected sources,2,"The generated answer provides some context about the 'Approval Matrix' but does not mention its new name 'Access Control SOP' or the specific document reference (access-control-sop.md), which are key facts in the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"Every claim in the answer is directly supported by the context provided, with no hallucinated information.",5,The answer directly addresses the user's question about the maximum number of remote days per week and provides additional relevant details about the approval process.,5,Retrieved: 1/1 expected sources,5,"The generated answer covers all key facts from the expected answer, including the remote work limit of 2 days per week after the probation period and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền hợp lệ để thực hiện hành động yêu cầu. Cách xử lý là kiểm tra và yêu cầu cấp quyền thông qua quy trình đã được mô tả, bao gồm việc tạo Access Request ticket trên Jira và chờ phê duyệt từ Line Manager [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,The answer accurately describes the ERR-403-AUTH error as related to access rights and correctly references the process for requesting access as outlined in the context.,5,"The answer directly addresses the user's query about the ERR-403-AUTH error and provides a clear explanation of what it is and how to resolve it, making it both concise and helpful.",,No expected sources,2,"The generated answer provides information about ERR-403-AUTH being related to access rights and includes steps for handling it, but it does not mention the lack of information in existing documentation or the suggestion to contact IT Helpdesk, which are key points in the expected answer.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer correctly states that there is no information in the context regarding an emergency refund process for VIP customers, and the 'I don't know' response is appropriate due to the lack of relevant details.",5,"The answer acknowledges the lack of information regarding the specific process for urgent refunds for VIP customers, which is relevant given the context.",5,Retrieved: 1/1 expected sources,2,"The generated answer acknowledges the lack of information regarding a special refund process for VIP customers but does not mention the standard refund process timeframe of 3-5 working days, which is a key fact in the expected answer.",baseline_dense
